City,Season,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³),NH₃ (µg/m³),Temperature (°C),Humidity (%),Wind Speed (km/h),Traffic Density (veh/hr),Industrial Activity (0-100),Green Cover (%),Population Density (per km²),Waste Management Score (0-10),AQI,Outlier
Ludhiana,Monsoon,68.6,128.7,19.5,13.7,1.02,38.2,1.0,34.6,91.3,31.1,4568,79.0,10.3,8321,4.6,148.3,No
Chennai,Winter,56.5,450.4,65.8,21.8,2.06,264.1,39.3,14.6,60.2,0.5,3601,54.0,25.3,10120,8.2,457.1,Yes
Delhi,PostMonsoon,90.6,175.1,26.8,5.9,3.13,49.8,6.2,23.4,49.6,13.6,4251,53.0,11.1,11996,5.0,195.5,No
Nagpur,Summer,84.6,94.4,26.6,10.4,1.92,50.0,19.4,43.9,40.5,20.1,3457,56.8,18.7,6740,5.6,157.5,No
Bhopal,Monsoon,43.6,54.9,24.5,19.9,0.78,37.2,13.3,27.1,75.1,24.6,3037,37.0,20.1,4660,3.9,79.5,No
Lucknow,Monsoon,79.3,84.3,13.6,12.2,0.9,34.5,20.9,29.7,83.8,18.2,4361,40.0,8.3,10699,4.8,146.3,No
Faridabad,Summer,112.2,195.6,33.6,7.7,1.76,34.7,22.4,44.6,48.3,13.1,6506,50.1,7.8,9500,7.0,216.9,No
Ludhiana,Summer,121.5,126.5,22.2,16.2,1.61,50.1,19.8,34.5,38.8,17.6,5068,57.0,5.0,9736,4.3,230.4,No
Varanasi,Monsoon,66.6,99.2,29.7,8.9,1.26,35.5,10.7,26.7,71.2,29.8,3656,49.4,9.7,9976,6.0,127.0,No
Vadodara,PostMonsoon,72.0,161.1,19.2,19.4,0.58,33.2,28.9,23.4,61.0,19.2,3921,63.5,21.6,8077,3.7,174.8,No
Chennai,Summer,38.2,103.3,21.9,5.7,1.48,48.5,30.8,37.7,31.2,17.4,5494,41.6,29.2,7812,7.0,107.1,No
Rajkot,Summer,84.7,103.3,29.0,7.0,0.83,47.8,24.3,41.4,39.1,20.7,2562,69.2,18.1,6342,6.4,153.3,No
Bhopal,Winter,96.3,190.8,87.2,24.0,3.57,30.3,23.8,11.6,75.5,11.4,2168,49.6,23.3,5717,5.5,207.7,No
Mumbai,PostMonsoon,91.0,125.1,34.5,12.7,1.09,28.7,25.3,20.4,60.1,19.5,7386,59.0,23.0,21276,6.8,159.8,No
Mumbai,Winter,112.2,140.0,51.2,27.2,3.1,38.9,21.6,15.2,63.0,10.9,5431,70.6,21.7,25360,3.9,198.4,No
Visakhapatnam,PostMonsoon,69.5,110.4,48.0,14.7,2.3,41.9,20.6,28.2,63.3,13.0,5062,54.9,26.6,6618,7.0,130.3,No
Rajkot,Monsoon,50.6,81.3,11.4,6.2,1.68,31.4,19.3,27.4,75.5,28.6,3464,46.6,15.4,4985,5.6,86.0,No
Nagpur,Winter,90.7,168.3,51.8,15.7,2.4,40.6,26.7,10.5,72.4,4.3,4447,38.7,20.7,7063,8.3,176.4,No
Kanpur,PostMonsoon,155.5,190.3,42.3,17.6,2.2,30.8,8.7,30.0,64.8,16.9,5074,77.4,8.0,8466,7.7,278.5,No
Thane,Winter,111.5,177.5,56.7,20.7,2.54,25.0,26.3,16.9,65.6,8.9,5321,31.5,18.1,16066,4.3,192.7,No
Coimbatore,Winter,62.3,103.7,60.6,27.3,3.47,10.8,34.6,20.7,67.1,5.3,3109,40.2,31.3,6028,3.7,108.6,No
Ludhiana,Monsoon,18.4,160.6,46.9,16.9,1.16,28.4,15.3,25.7,89.4,33.8,5209,73.4,13.9,10935,7.1,182.5,No
Ghaziabad,PostMonsoon,128.9,219.0,63.3,1.0,1.56,34.9,26.1,25.7,46.7,15.6,5851,63.1,17.1,11048,5.3,237.5,No
Nagpur,Summer,49.7,107.8,67.9,16.7,1.64,56.9,29.4,32.8,39.4,22.2,3939,44.5,18.2,7176,6.5,115.2,No
Varanasi,PostMonsoon,94.2,182.6,58.6,10.6,1.2,17.6,26.6,23.4,46.2,8.3,3578,37.2,9.7,8097,4.1,185.7,No
Indore,Winter,115.3,167.8,48.9,25.5,2.1,26.8,31.2,21.1,79.5,6.7,4945,58.5,15.7,6992,7.5,196.4,No
Mumbai,Monsoon,76.7,81.7,34.6,17.7,0.92,60.9,27.2,33.5,73.2,20.6,6578,74.8,13.9,16618,3.7,143.9,No
Bhopal,Monsoon,36.9,82.8,23.9,1.0,0.53,37.3,6.6,28.4,77.9,28.1,4488,38.9,24.5,6270,5.4,82.9,No
Ahmedabad,PostMonsoon,68.0,124.1,10.8,15.2,1.44,21.9,28.6,29.8,58.9,8.1,5473,55.4,11.9,8148,7.5,134.4,No
Nashik,Monsoon,42.7,47.7,34.5,8.9,1.23,27.5,28.9,27.9,79.5,20.3,2889,7.4,30.0,5354,5.5,52.4,No
Rajkot,Monsoon,39.4,57.7,13.5,14.8,1.82,47.2,8.9,34.4,88.7,30.8,2544,37.2,17.3,7017,3.5,75.0,No
Allahabad,Winter,167.7,293.4,56.5,25.4,2.71,22.9,25.2,14.7,75.9,4.4,3311,56.8,12.9,8552,6.3,309.5,No
Nagpur,Winter,88.0,121.2,41.2,29.5,3.24,33.7,30.0,15.2,70.8,7.9,3995,50.2,15.0,6516,4.9,157.2,No
Allahabad,Summer,118.6,123.6,11.7,19.3,0.31,40.2,14.1,41.8,24.8,14.6,4259,68.8,13.8,8317,4.4,211.9,No
Surat,Summer,42.7,81.1,30.2,24.0,2.39,27.4,43.8,37.3,33.8,10.5,4030,59.1,19.0,9273,7.0,83.0,No
Ghaziabad,PostMonsoon,156.8,192.0,26.7,13.9,2.56,29.4,15.8,31.3,50.2,12.2,6698,63.6,7.0,13628,5.9,278.9,No
Patna,Winter,150.4,225.6,40.9,18.3,1.9,24.1,35.6,10.5,79.7,6.3,3668,40.5,6.1,10646,8.3,258.7,No
Kolkata,Monsoon,87.1,92.1,29.5,6.9,0.9,66.9,11.2,28.0,75.8,34.1,4856,61.1,17.4,31159,3.8,157.4,No
Hyderabad,PostMonsoon,67.5,141.8,32.6,17.1,1.38,31.5,24.8,24.7,60.8,9.7,5447,52.8,27.5,8171,4.8,155.7,No
Pune,Monsoon,45.5,73.5,38.3,25.0,0.16,28.3,1.0,33.5,70.7,25.6,4903,48.8,21.8,5996,8.3,90.7,No
Mumbai,Monsoon,31.3,113.2,26.0,9.6,1.98,26.3,35.4,32.7,77.4,25.9,5820,54.4,15.1,13200,7.7,124.9,No
Allahabad,Winter,136.1,220.2,54.8,26.9,2.4,41.8,26.4,18.6,55.4,4.9,4287,42.9,11.9,8291,5.1,240.5,No
Bhopal,Summer,64.2,104.0,42.0,29.8,1.04,60.8,20.2,33.5,45.3,21.8,3465,49.4,22.0,5957,8.3,111.1,No
Nashik,PostMonsoon,63.6,107.1,21.9,25.9,0.97,41.1,2.0,31.4,52.3,13.8,2882,39.3,30.1,5364,8.1,102.4,No
Amritsar,PostMonsoon,61.8,140.7,31.6,16.5,2.16,25.5,30.5,22.0,41.1,13.6,3965,64.0,11.3,7635,3.8,154.7,No
Kanpur,Summer,130.6,214.4,38.2,14.9,1.28,59.0,9.4,35.8,26.1,21.3,4914,86.1,11.3,9794,5.7,226.3,No
Faridabad,Winter,171.6,217.7,43.5,26.5,2.5,49.5,20.5,16.5,57.9,11.2,4991,81.0,7.5,8344,5.0,298.3,No
Varanasi,Summer,72.3,138.4,35.6,20.7,1.76,51.1,18.3,42.6,37.3,22.4,3897,34.1,16.9,7995,6.4,146.4,No
Visakhapatnam,Summer,47.4,91.7,12.7,7.2,2.33,55.8,19.9,39.0,49.4,16.6,4844,62.2,24.0,7008,7.0,113.0,No
Faridabad,Monsoon,66.5,140.1,5.8,20.1,0.67,20.7,19.3,26.0,82.4,25.6,5528,61.4,1.7,8746,7.2,174.3,No
Lucknow,Winter,142.2,263.6,62.3,29.0,1.99,56.0,26.8,18.2,76.9,5.2,5134,63.8,13.1,8245,7.7,267.4,No
Ghaziabad,Summer,115.8,191.9,39.6,20.4,1.91,63.5,28.3,43.8,39.1,14.1,6097,70.4,4.8,10529,4.1,220.9,No
Nashik,Winter,92.4,141.8,60.0,19.6,2.5,24.5,35.1,16.1,67.8,7.2,3583,57.3,18.1,4490,8.2,168.6,No
Indore,Monsoon,48.8,86.4,21.1,12.6,1.91,28.9,9.5,33.0,81.5,15.7,4230,63.3,15.3,6327,3.7,104.6,No
Agra,Winter,154.3,230.6,42.2,11.6,2.12,20.7,24.4,14.4,77.5,11.1,3891,42.2,12.7,8458,5.1,273.5,No
Kanpur,Summer,65.1,277.3,11.9,16.5,2.57,56.7,21.7,41.8,25.1,11.8,5539,84.3,6.7,6334,7.3,312.7,No
Patna,PostMonsoon,113.8,242.5,44.5,24.7,1.23,31.4,11.8,28.7,44.0,17.8,3390,45.5,18.6,10144,6.2,230.8,No
Faridabad,PostMonsoon,132.3,200.6,40.3,11.6,1.08,34.4,8.5,25.0,45.3,15.5,5773,88.3,12.2,9385,6.3,249.4,No
Bhopal,PostMonsoon,65.3,112.8,23.8,24.1,1.56,34.6,24.9,21.3,51.4,15.5,3619,30.7,26.9,6000,7.9,119.1,No
Surat,Summer,66.3,143.0,46.8,5.1,1.07,47.7,18.4,36.8,29.6,16.7,3417,56.6,9.8,9062,7.9,163.5,No
Mumbai,Monsoon,30.0,40.7,21.3,6.3,1.56,23.7,1.0,33.2,93.5,33.9,5671,60.3,14.6,15348,8.5,70.9,No
Hyderabad,Summer,40.6,78.1,18.5,18.9,1.38,41.5,12.3,44.7,42.8,15.9,5375,42.2,29.9,8013,5.1,87.1,No
Varanasi,PostMonsoon,95.0,188.2,36.1,15.3,1.85,17.8,13.7,30.1,52.7,9.3,3201,42.7,10.3,8016,4.2,203.9,No
Bengaluru,Monsoon,61.6,79.0,26.3,1.0,1.08,57.2,14.9,25.7,93.8,17.9,6313,46.7,36.0,8596,3.8,128.3,No
Amritsar,Summer,84.7,89.7,27.5,3.4,2.68,30.4,19.0,39.7,31.8,13.7,3386,44.6,17.9,6684,4.9,133.1,No
Mumbai,Summer,88.1,93.1,30.0,11.6,0.9,54.2,22.3,32.5,47.0,20.3,5462,49.3,13.8,20328,6.5,163.0,No
Ahmedabad,Winter,113.4,193.8,38.6,23.4,2.91,35.1,34.7,17.5,75.3,6.4,5285,74.9,12.5,7481,6.8,196.5,No
Ludhiana,Winter,139.3,215.3,55.4,18.4,1.96,41.0,27.8,15.2,62.1,12.0,4246,76.2,13.2,9599,7.1,264.7,No
Patna,PostMonsoon,127.3,209.1,42.3,23.8,1.34,30.5,19.6,28.5,56.4,16.6,4386,70.9,9.9,7172,7.8,226.6,No
Patna,Monsoon,77.8,112.3,43.5,8.0,2.36,27.1,20.5,33.2,93.9,21.2,4601,30.7,7.1,8568,7.8,127.4,No
Mumbai,Summer,45.9,82.1,36.7,11.4,2.17,40.1,22.9,37.8,20.8,11.7,6622,28.8,19.9,20572,4.0,104.6,No
Bhopal,Monsoon,37.9,50.7,16.7,6.2,0.9,31.8,12.5,33.3,78.9,24.1,3646,69.6,21.7,6586,7.4,82.9,No
Hyderabad,PostMonsoon,46.4,109.1,34.0,28.1,1.68,51.1,27.1,28.7,50.7,11.1,3962,38.1,29.2,8693,5.7,119.6,No
Lucknow,Winter,135.0,199.4,58.2,29.2,0.91,34.8,27.0,11.3,75.5,8.1,3994,74.7,12.6,8215,8.5,241.6,No
Rajkot,Winter,89.5,141.4,75.0,19.5,2.59,32.0,39.3,20.1,72.9,8.8,4307,40.3,14.5,5620,3.8,169.8,No
Jaipur,Summer,75.9,121.2,26.2,18.3,2.07,14.5,18.7,41.3,41.4,23.8,2696,35.3,20.3,6790,4.3,124.6,No
Kolkata,Summer,90.2,143.8,31.3,7.5,1.68,22.6,15.9,41.2,44.6,19.3,4917,61.9,15.9,21837,4.3,174.8,No
Ludhiana,PostMonsoon,101.8,198.3,29.7,20.4,0.88,45.9,15.8,28.0,57.7,18.3,4528,80.9,17.8,7783,6.9,219.4,No
Indore,Summer,86.5,107.2,43.4,21.0,0.76,27.2,23.9,36.9,23.9,11.2,4304,54.6,27.1,6191,3.8,148.0,No
Kanpur,PostMonsoon,162.4,295.6,26.3,29.1,1.76,30.0,23.2,20.1,51.5,11.5,3534,76.9,2.4,8389,4.3,318.6,No
Nagpur,Summer,68.6,117.8,26.7,8.8,1.16,299.8,10.1,50.1,28.6,18.0,3644,49.5,23.1,6857,7.4,312.1,Yes
Kanpur,Summer,173.9,178.9,15.9,10.1,1.79,16.1,11.7,37.9,41.6,22.3,4389,81.7,7.9,7583,5.8,310.1,No
Bhopal,Winter,341.1,346.1,44.0,36.7,2.84,255.0,36.5,11.7,64.0,9.6,9223,93.7,26.2,5818,5.4,500.0,Yes
Faridabad,Winter,191.1,265.6,46.2,31.8,2.87,44.6,9.5,12.2,62.0,6.7,4596,77.7,14.3,11891,7.6,331.6,No
Meerut,Summer,85.6,161.6,24.1,17.0,2.16,22.4,16.6,44.4,25.0,19.3,3234,65.9,13.4,8074,7.1,153.9,No
Allahabad,PostMonsoon,136.8,164.3,21.9,16.6,1.32,46.8,13.0,22.9,51.4,17.8,4611,44.5,12.7,8520,6.6,250.2,No
Ghaziabad,Summer,97.2,161.5,22.1,22.5,1.76,32.2,20.6,32.1,43.6,24.5,6181,63.3,14.2,10506,7.1,180.4,No
Kanpur,Monsoon,119.1,142.5,2.0,1.4,1.84,33.3,28.3,32.2,93.4,31.8,5226,77.5,10.3,7388,7.8,208.9,No
Bengaluru,PostMonsoon,63.1,107.6,40.1,15.8,1.78,26.3,13.3,28.2,62.0,18.5,6339,37.6,26.6,9463,5.8,121.9,No
Hyderabad,Monsoon,39.6,82.3,21.4,10.0,1.96,32.3,17.5,32.7,71.5,29.4,5316,69.2,27.6,5559,4.1,77.2,No
Varanasi,Summer,85.2,138.1,45.1,13.7,1.78,61.3,22.4,39.7,20.7,21.4,3046,50.9,15.4,8009,6.1,138.4,No
Thane,Monsoon,53.6,69.2,25.3,9.1,1.62,30.8,25.6,34.2,78.4,32.6,4997,43.4,21.3,14097,8.0,70.8,No
Varanasi,Summer,79.7,181.9,21.2,11.9,1.62,32.0,18.2,42.6,42.7,12.0,2890,32.5,17.3,9144,4.4,202.2,No
Pune,Summer,45.6,96.7,41.0,20.2,1.71,51.9,19.3,37.0,42.5,18.9,3967,40.3,24.3,5785,8.4,86.7,No
Kanpur,Monsoon,73.5,158.9,156.0,130.5,0.24,252.4,4.2,32.7,91.9,21.0,9303,94.0,6.2,8768,7.0,288.5,Yes
Meerut,PostMonsoon,87.7,174.6,18.5,27.1,2.28,23.2,31.9,28.4,43.1,13.4,3618,70.6,7.0,5679,5.1,192.5,No
Lucknow,Winter,171.4,275.4,55.2,25.1,2.35,38.1,38.8,11.9,69.8,9.8,4506,72.1,8.3,9691,7.7,311.0,No
Surat,Summer,61.7,140.7,33.9,16.5,0.99,42.2,20.3,43.2,31.6,10.4,5685,69.8,13.4,9347,5.6,153.0,No
Ahmedabad,Summer,69.9,146.3,30.5,21.3,1.22,61.7,14.5,39.8,29.5,24.9,5127,75.7,8.1,7057,5.3,158.0,No
Agra,Winter,152.9,235.5,56.8,27.6,2.58,39.8,36.2,19.0,68.6,10.5,3261,59.9,8.2,9926,4.1,265.7,No
Bhopal,Winter,83.6,137.3,45.9,27.9,2.41,16.3,30.3,11.0,59.7,10.8,4118,51.1,24.3,4358,4.8,160.8,No
Visakhapatnam,PostMonsoon,68.1,89.9,38.4,26.9,2.82,38.1,11.8,25.6,47.2,11.6,3587,46.3,29.0,7845,7.0,100.2,No
Visakhapatnam,Winter,93.9,129.2,46.1,18.3,2.85,74.6,28.2,17.1,75.6,9.4,4502,51.2,30.7,7897,8.4,178.2,No
Ahmedabad,Summer,84.0,108.1,40.1,18.7,2.21,52.0,33.7,32.4,46.4,20.3,4421,74.4,15.0,7038,7.5,145.0,No
Kolkata,Winter,129.9,232.5,57.2,11.8,1.94,38.5,35.1,21.7,70.0,6.6,5782,64.4,9.5,23089,6.3,246.0,No
Bhopal,Winter,96.4,141.4,50.1,16.2,2.15,37.8,16.4,18.4,65.8,6.4,4158,34.5,23.6,6418,6.2,172.0,No
Bengaluru,PostMonsoon,354.0,494.5,151.5,26.1,1.71,38.5,20.0,26.7,45.8,9.7,5585,52.9,32.3,7594,7.0,500.0,Yes
Nashik,Winter,74.5,158.2,37.0,27.9,2.95,15.2,20.8,21.9,80.0,8.8,2581,55.1,23.4,5422,8.0,173.4,No
Bengaluru,Winter,61.4,111.0,55.2,31.5,2.14,40.5,31.3,14.9,56.7,10.3,5910,20.6,29.7,8587,6.3,99.2,No
Allahabad,Summer,104.0,132.9,29.4,5.5,1.58,55.6,13.8,36.9,45.8,19.9,4771,65.1,17.6,8229,8.0,184.5,No
Kanpur,Monsoon,134.6,192.9,23.2,21.8,0.13,22.9,14.8,32.0,93.1,22.0,4584,97.5,12.1,7260,4.0,242.4,No
Lucknow,Winter,168.6,303.6,52.1,30.9,2.11,42.1,43.5,13.5,55.1,10.0,6446,35.9,8.7,9431,5.2,314.9,No
Surat,Summer,73.5,127.7,23.2,23.6,2.05,68.7,15.0,44.1,20.6,10.1,4935,74.4,16.7,8287,7.9,146.7,No
Nagpur,Summer,66.1,93.2,27.6,3.8,1.74,46.2,18.9,44.2,27.7,11.7,3441,38.8,21.2,6783,4.1,121.8,No
Bhopal,PostMonsoon,76.0,94.6,39.2,8.7,1.51,50.1,22.3,30.1,42.7,8.4,3217,40.7,26.2,5488,4.0,130.5,No
Kolkata,Winter,111.9,192.5,71.0,20.5,2.97,31.1,27.9,12.4,66.5,12.0,5042,53.6,17.1,26145,6.5,196.7,No
Ghaziabad,Winter,153.3,386.3,67.2,18.9,2.48,22.6,26.9,13.2,71.5,10.2,5595,61.4,2.5,10725,6.8,410.0,No
Delhi,Summer,75.3,105.1,17.9,18.5,1.94,30.1,8.8,42.2,47.9,17.0,6355,79.3,11.7,13410,7.3,137.3,No
Chennai,Summer,28.6,78.5,54.0,26.7,0.9,25.8,2.3,41.9,24.2,22.9,4289,64.6,21.3,7225,6.5,86.4,No
Nashik,Summer,23.3,71.9,60.0,9.8,1.98,47.5,30.1,32.2,37.5,12.1,2603,25.4,25.6,5753,3.8,73.2,No
Mumbai,Winter,127.1,200.0,206.0,20.4,1.53,18.1,29.5,49.1,78.0,8.1,8113,89.0,23.4,24904,7.7,282.3,Yes
Nagpur,PostMonsoon,58.3,148.3,30.9,2.1,1.07,28.3,15.6,30.3,60.6,18.7,3716,76.1,17.1,6043,6.7,167.6,No
Kolkata,Winter,124.5,188.1,46.0,22.9,1.58,32.4,31.3,16.9,75.7,6.4,4969,55.7,10.3,21948,4.8,227.5,No
Kolkata,PostMonsoon,100.1,144.8,56.0,17.7,1.16,35.8,27.6,22.8,47.5,18.5,5382,51.7,17.9,22598,6.2,180.6,No
Patna,Monsoon,53.9,121.0,29.3,17.2,1.0,25.4,15.2,29.2,75.9,25.4,3851,65.0,1.7,12566,4.9,135.4,No
Vadodara,Monsoon,33.0,85.1,27.0,28.8,2.53,43.5,9.6,28.3,76.6,28.6,4114,52.0,18.7,6949,4.8,105.5,No
Rajkot,PostMonsoon,80.6,161.5,41.6,39.6,1.89,36.5,37.6,25.0,49.0,18.7,3396,58.4,19.5,5692,5.7,178.3,No
Hyderabad,Summer,58.0,106.8,56.6,13.4,1.75,57.7,19.6,42.9,42.3,10.9,5912,42.4,30.9,7808,7.3,115.1,No
Ghaziabad,Summer,112.0,177.9,29.5,13.3,11.84,33.9,24.6,49.9,32.1,18.1,9214,75.8,7.0,15440,4.8,326.0,Yes
Thane,Monsoon,52.1,92.0,3.3,7.4,0.54,35.6,11.2,30.9,91.2,22.1,6766,85.5,19.4,13247,6.1,104.1,No
Indore,Summer,57.4,112.8,35.2,15.2,1.06,56.7,9.4,34.5,43.2,13.1,4876,51.0,22.0,6319,6.8,129.1,No
Indore,Summer,58.4,138.0,45.1,18.0,1.27,47.3,21.0,38.1,38.0,10.4,3833,21.9,16.0,6051,7.2,148.8,No
Visakhapatnam,Winter,101.3,166.9,59.3,31.5,2.12,52.8,38.3,10.3,75.1,7.6,3711,31.1,26.4,8351,4.3,181.8,No
Varanasi,PostMonsoon,151.1,177.5,45.0,26.3,1.25,47.3,15.1,28.1,59.7,17.4,4112,17.7,17.7,7899,4.0,252.8,No
Coimbatore,PostMonsoon,45.4,61.2,54.5,22.0,1.53,38.7,23.1,24.3,40.1,10.4,3442,57.7,35.0,4669,5.7,93.6,No
Kolkata,PostMonsoon,76.0,159.2,40.4,19.7,2.28,40.5,24.0,30.0,44.1,12.8,5516,54.0,11.6,17475,8.0,171.4,No
Patna,Winter,187.5,258.9,66.0,21.1,2.12,35.0,42.7,17.6,69.2,6.3,4756,64.5,12.6,9876,4.6,348.9,No
Mumbai,Winter,92.9,163.9,43.8,19.8,2.3,62.9,33.0,16.0,62.7,10.7,6691,57.8,15.8,20203,8.0,170.4,No
Meerut,Winter,116.6,248.3,66.7,22.3,2.9,32.9,26.6,11.9,61.1,6.9,4093,48.0,11.9,9713,6.8,265.0,No
Ludhiana,PostMonsoon,120.3,186.8,31.2,30.4,2.22,25.1,9.5,20.6,53.5,15.4,3431,78.1,14.2,7817,7.4,208.2,No
Mumbai,PostMonsoon,79.5,123.1,22.5,23.5,1.63,31.9,27.3,24.2,56.5,9.3,5673,29.9,19.7,21010,7.6,136.4,No
Nashik,Monsoon,48.8,71.9,13.3,14.3,1.63,19.0,22.8,30.1,81.6,22.0,2756,56.1,31.6,5796,5.4,81.2,No
Bengaluru,PostMonsoon,60.5,125.6,33.4,23.9,2.18,25.8,21.1,23.4,64.3,12.5,4851,30.2,33.5,8379,5.6,137.9,No
Kolkata,Winter,147.3,174.5,66.7,31.5,3.23,20.6,43.6,16.6,59.2,10.8,3637,56.4,15.5,21079,6.2,235.2,No
Surat,Summer,85.6,90.6,40.3,10.2,1.74,44.3,20.2,40.4,23.7,14.2,5237,63.7,18.8,10268,5.6,154.1,No
Lucknow,Winter,162.7,201.2,39.6,20.9,1.16,34.9,34.8,10.8,68.6,6.7,5444,54.7,14.1,8739,7.9,276.1,No
Chennai,Winter,74.3,148.1,51.6,20.8,1.89,42.5,30.5,11.8,59.6,9.6,4494,56.7,25.6,7840,6.8,151.6,No
Lucknow,Winter,129.7,251.6,57.0,18.4,1.93,54.1,23.0,17.2,76.6,8.7,5082,55.6,12.7,9911,5.1,261.5,No
Kanpur,PostMonsoon,162.2,190.9,36.0,6.4,2.2,42.7,26.4,30.8,48.8,14.3,5097,66.4,10.2,6974,6.6,284.7,No
Chennai,Summer,34.1,85.3,17.0,18.2,2.58,6.3,10.9,37.8,47.5,22.2,7245,41.8,21.2,9894,7.3,113.3,No
Pune,Summer,70.9,115.8,23.2,20.9,2.26,54.9,17.2,32.8,39.7,17.3,3818,60.9,21.6,7613,6.7,122.9,No
Ahmedabad,Summer,88.5,134.1,27.6,29.2,0.68,58.1,15.3,37.8,33.2,21.1,4237,68.1,15.5,9330,4.4,151.7,No
Surat,PostMonsoon,73.7,138.0,30.4,15.8,2.6,47.3,11.5,31.0,54.7,15.2,5547,73.0,9.6,8246,7.4,172.3,No
Rajkot,Winter,89.8,146.9,30.3,28.3,1.83,56.7,31.0,10.3,73.5,8.2,2553,44.1,21.3,4936,5.3,144.3,No
Hyderabad,Monsoon,49.2,54.2,11.1,29.6,0.82,46.8,25.5,34.8,73.8,35.0,5904,43.9,34.0,8722,4.2,81.6,No
Ludhiana,Winter,144.7,232.6,60.2,11.3,1.13,22.6,32.7,17.8,64.5,10.2,5002,74.3,5.6,8384,7.0,250.4,No
Mumbai,Winter,111.6,147.8,39.5,21.2,2.08,25.3,18.8,16.0,78.2,11.9,4276,54.9,16.4,19611,8.2,195.2,No
Thane,Summer,82.7,127.1,18.6,7.3,2.63,38.9,14.8,44.5,46.3,13.2,4387,33.6,21.3,11228,5.3,151.1,No
Bengaluru,Monsoon,52.7,57.7,9.8,13.8,1.12,43.5,16.0,33.7,78.4,27.8,7150,49.2,31.5,9922,7.6,90.9,No
Bhopal,Monsoon,50.4,72.9,26.2,6.8,1.89,20.4,25.6,33.6,90.1,21.5,3867,41.1,26.9,5717,6.4,93.9,No
Vadodara,Winter,75.5,210.7,26.9,26.6,2.94,43.9,45.3,11.1,58.5,6.6,3392,51.3,15.6,5713,7.4,220.5,No
Bengaluru,Monsoon,32.5,78.6,38.5,1.2,1.0,43.9,26.1,30.6,93.4,33.8,6875,38.2,21.9,8997,5.6,94.8,No
Jaipur,Summer,73.8,91.0,34.5,5.3,2.28,60.5,30.0,35.5,44.2,10.0,3493,54.2,15.9,8512,7.9,117.9,No
Faridabad,Winter,155.3,271.1,67.8,21.6,3.52,22.7,34.1,11.0,56.1,8.6,5854,76.4,7.1,11613,7.3,279.6,No
Ludhiana,Summer,133.7,559.4,150.4,12.1,1.74,61.2,9.5,35.3,36.6,18.4,8721,71.6,14.6,10748,6.3,500.0,Yes
Thane,Summer,52.5,71.2,32.8,18.9,0.73,41.4,31.0,32.5,22.5,10.1,3780,42.7,17.8,14415,6.8,96.8,No
Indore,Winter,111.9,186.5,56.2,11.1,2.33,38.7,33.0,19.6,56.3,11.1,3376,57.4,24.6,6446,6.1,184.6,No
Hyderabad,Winter,70.7,149.4,24.9,34.3,3.03,37.2,32.5,20.3,68.8,11.4,5067,63.5,23.0,8410,6.0,157.1,No
Nashik,Winter,80.6,170.3,43.5,18.5,1.87,49.4,25.1,19.0,68.8,4.3,3901,56.9,27.4,3890,3.6,184.1,No
Surat,PostMonsoon,114.5,208.3,28.0,22.3,1.16,15.1,18.3,29.9,57.5,9.1,3602,68.1,12.2,9947,7.8,228.1,No
Rajkot,Winter,82.1,171.4,43.4,34.6,1.11,28.2,33.6,17.8,72.4,8.8,2673,69.0,24.4,6151,5.3,183.8,No
Ludhiana,PostMonsoon,139.8,156.6,42.2,20.5,1.74,31.4,22.3,30.4,60.4,17.7,3988,73.1,9.5,9018,4.2,240.1,No
Agra,PostMonsoon,131.5,173.1,69.1,16.4,1.65,25.2,22.0,29.8,51.4,19.3,4154,57.8,12.4,7547,6.9,224.8,No
Kolkata,Monsoon,44.8,131.2,21.3,1.0,1.9,47.1,4.8,29.9,83.5,28.0,4339,41.9,19.6,20982,6.7,129.6,No
Delhi,Monsoon,81.1,86.1,14.4,9.8,1.38,24.4,1.1,27.8,75.6,25.9,6460,46.1,15.9,11253,8.3,135.2,No
Surat,PostMonsoon,80.4,133.9,35.3,25.9,1.93,55.3,24.0,25.7,61.0,9.1,6693,56.6,15.8,9551,3.8,152.2,No
Mumbai,Summer,38.4,84.8,33.2,6.0,1.53,52.9,28.0,35.1,39.8,22.5,7887,68.5,21.7,20699,3.7,90.7,No
Surat,Summer,49.4,108.8,38.8,21.9,2.2,37.9,1.0,33.0,28.7,16.3,6336,74.7,18.5,8729,5.0,132.0,No
Visakhapatnam,Monsoon,26.8,64.5,23.8,16.0,1.33,24.1,23.1,30.5,72.6,30.0,3431,45.6,21.4,6725,8.4,70.5,No
Agra,Monsoon,83.8,163.7,42.8,1.0,1.94,42.8,18.2,34.9,89.5,33.2,4712,44.1,6.4,7602,8.3,157.0,No
Surat,Winter,103.9,175.3,52.6,20.8,3.1,17.7,28.1,14.5,68.4,6.4,4135,56.3,20.7,7344,4.4,187.5,No
Ahmedabad,PostMonsoon,94.6,156.1,41.1,14.8,1.34,23.7,16.9,23.9,52.0,13.9,5377,61.5,22.8,8789,5.5,173.2,No
Visakhapatnam,Monsoon,51.0,56.0,27.6,9.3,0.1,28.6,10.0,25.1,89.4,27.7,4369,57.5,34.0,5746,3.9,92.9,No
